Fuel Type Code,Station Name,Street Address,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
ELEC,OUC RELIABLE 01,100 W Anderson Street,Orlando,FL,32801,,888-758-4389,E,,Public,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,28.535975,-81.379663,5/1/2022,35284,2022-05-01 00:34:38 UTC,,,,2/15/2011,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,OUC OC BARNETT 1,4801 W Colonial Dr,Orlando,FL,32808,,888-758-4389,E,,Public,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,28.560572,-81.441748,5/1/2022,37150,2022-05-01 00:34:38 UTC,,,,5/1/2012,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,OUC OC MARKS ST 01,99 E Marks St,Orlando,FL,32803,,888-758-4389,E,,Public,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,28.556879,-81.377632,5/1/2022,37151,2022-05-01 00:34:38 UTC,,,,5/1/2012,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,OUC OUC OCCC 03,9899 International Drive,Orlando,FL,32819,,888-758-4389,E,,Public,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,28.429015,-81.458938,5/1/2022,37154,2022-05-01 00:34:38 UTC,,,,7/31/2012,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,OUC OC W LIBRARY 01,5151 Raleigh St,Orlando,FL,32811,,888-758-4389,E,,Public,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,28.528024,-81.44774,5/1/2022,37161,2022-05-01 00:34:38 UTC,,,,5/1/2012,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,OUC OC MED EXAM 01,2350 E Michigan Street,Orlando,FL,32806,,888-758-4389,E,,Public,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,28.512494,-81.351919,5/1/2022,37162,2022-05-01 00:34:38 UTC,,,,5/1/2012,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,City of Delray Beach - Banker's Row Parking Lot,200 NE 1st Ave,Delray Beach,FL,33444,,561-243-7000,E,,Public,,,,,,3,,,Non-Networked,,GPS,26.465314,-80.07219,11/9/2020,37835,2021-03-11 23:22:17 UTC,LG,,,6/15/2011,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,,
ELEC,Firkins Nissan,1611 Cortez Rd W,Bradenton,FL,34207,,941-755-1571,E,,Public - Call ahead,,,,,,1,,,Non-Networked,,200-9,27.462023,-82.578036,6/9/2020,39962,2021-03-11 23:22:17 UTC,P,,,3/15/2011,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Maus Nissan,937 S Suncoast Blvd,Homosassa,FL,34448,,352-628-4300,E,,Public - Call ahead,,,,,,1,,,Non-Networked,,200-8,28.848733,-82.57947,6/9/2020,39963,2021-03-11 23:22:17 UTC,P,,,3/15/2011,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Deland Nissan,2600 S Woodland Blvd,Deland,FL,32720,,386-734-3003,E,,Public - Call ahead,,,,,,1,1,,Non-Networked,,200-9,28.983689,-81.300079,3/7/2022,39964,2022-03-07 19:49:53 UTC,P,,,3/15/2011,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
